Category number,E-number,Name,Maximum level (mg/l or mg/kg as appropriate),Footnotes,Restrictions/exceptions,Category name
01.8,E 475,Polyglycerol esters of fatty acids,5 000,,only milk and cream analogues,"Dairy analogues, including beverage whiteners"
01.8,E 475,Polyglycerol esters of fatty acids,500,,only beverage whiteners,"Dairy analogues, including beverage whiteners"
01.8,E 477,"Propane-1,2-diol esters of fatty acids",1 000,,only beverage whiteners,"Dairy analogues, including beverage whiteners"
01.8,E 477,"Propane-1,2-diol esters of fatty acids",5 000,,only milk and cream analogues,"Dairy analogues, including beverage whiteners"
01.8,E 481-482,Stearoyl-2-lactylates,3 000,The additives may be added individually or in combination,only beverage whiteners,"Dairy analogues, including beverage whiteners"
01.8,E 491-495,Sorbitan esters,5 000,The additives may be added individually or in combination,only milk and cream analogues; beverage whiteners,"Dairy analogues, including beverage whiteners"
01.8,E 551-559,Silicon dioxide - silicates,10 000,The additives may be added individually or in combination,"only sliced or grated cheese analogues and processed cheese analogue;beverage whiteners
 Period of application:
 Until 31 January 2014","Dairy analogues, including beverage whiteners"
01.8,E 551-553,Silicon dioxide - silicates,10 000,The additives may be added individually or in combination,"only sliced or grated cheese analogues and processed cheese analogue; beverage whiteners
 Period of application:
 from 1 February 2014","Dairy analogues, including beverage whiteners"
01.9,E 170,Calcium carbonate,quantum satis,,,Edible caseinates
01.9,E 331,Sodium citrates,quantum satis,,,Edible caseinates
01.9,E 332,Potassium citrates,quantum satis,,,Edible caseinates
01.9,E 333,Calcium citrates,quantum satis,,,Edible caseinates
01.9,E 380,Triammonium citrate,quantum satis,,,Edible caseinates
01.9,E 500,Sodium carbonates,quantum satis,,,Edible caseinates
01.9,E 501,Potassium carbonates,quantum satis,,,Edible caseinates
01.9,E 503,Ammonium carbonates,quantum satis,,,Edible caseinates
01.9,E 504,Magnesium carbonates,quantum satis,,,Edible caseinates
01.9,E 524,Sodium hydroxide,quantum satis,,,Edible caseinates
01.9,E 525,Potassium hydroxide,quantum satis,,,Edible caseinates
01.9,E 526,Calcium hydroxide,quantum satis,,,Edible caseinates
01.9,E 527,Ammonium hydroxide,quantum satis,,,Edible caseinates
01.9,E 528,Magnesium hydroxide,quantum satis,,,Edible caseinates
02.1,E 100,Curcumin,quantum satis,,only fats,Fats and oils essentially free from water (excluding anhydrous milkfat)
02.1,E 160a,Carotenes,quantum satis,,only fats,Fats and oils essentially free from water (excluding anhydrous milkfat)
02.1,E 160b,"Annatto, bixin, norbixin",10,,only fats,Fats and oils essentially free from water (excluding anhydrous milkfat)
02.1,E 270,Lactic acid,quantum satis,,"only for cooking and/or frying purposes or for the preparation of gravy, except virgin oils and olive oils",Fats and oils essentially free from water (excluding anhydrous milkfat)
02.1,E 300,Ascorbic acid,quantum satis,,"only for cooking and/or frying purposes or for the preparation of gravy, except virgin oils and olive oils",Fats and oils essentially free from water (excluding anhydrous milkfat)
02.1,E 304,Fatty acid esters of ascorbic acid,quantum satis,,except virgin oils and olive oils,Fats and oils essentially free from water (excluding anhydrous milkfat)
02.1,E 306,Tocopherol-rich extract,quantum satis,,except virgin oils and olive oils,Fats and oils essentially free from water (excluding anhydrous milkfat)
02.1,E 307,Alpha-tocopherol,quantum satis,,except virgin oils and olive oils,Fats and oils essentially free from water (excluding anhydrous milkfat)
02.1,E 307,Alpha-tocopherol,200,,"only refined olive oils, including olive pomace oil",Fats and oils essentially free from water (excluding anhydrous milkfat)
02.1,E 308,Gamma tocopherol,quantum satis,,except virgin oils and olive oils,Fats and oils essentially free from water (excluding anhydrous milkfat)
02.1,E 309,Delta-tocopherol,quantum satis,,except virgin oils and olive oils,Fats and oils essentially free from water (excluding anhydrous milkfat)
02.1,E 310-320,"Propyl gallate, TBHQ and BHA",200,The additives may be added individually or in combination ; Expressed on fat basis,"only fats and oils for the professional manufacture of heat- treated foods; frying oil and frying fat (excluding olive pomace oil) and lard, fish oil, beef, poultry and sheep fat",Fats and oils essentially free from water (excluding anhydrous milkfat)
02.1,E 321,Butylated hydroxytoluene (BHT),100,Expressed on fat basis,"only fats and oils for the professional manufacture of heat-treated foods; frying oil and frying fat (excluding olive an pomace oil) and lard, fish oil, beef, poultry and sheep fat",Fats and oils essentially free from water (excluding anhydrous milkfat)
02.1,E 322,Lecithins,30 000,,except virgin oils and olive oils,Fats and oils essentially free from water (excluding anhydrous milkfat)
02.1,E 330,Citric acid,quantum satis,,except virgin oils and olive oils,Fats and oils essentially free from water (excluding anhydrous milkfat)
02.1,E 331,Sodium citrates,quantum satis,,except virgin oils and olive oils,Fats and oils essentially free from water (excluding anhydrous milkfat)
02.1,E 332,Potassium citrates,quantum satis,,except virgin oils and olive oils,Fats and oils essentially free from water (excluding anhydrous milkfat)
02.1,E 333,Calcium citrates,quantum satis,,except virgin oils and olive oils,Fats and oils essentially free from water (excluding anhydrous milkfat)
02.1,E 392,Extracts of rosemary,30,Expressed on fat basis ; As the sum of carnosol and carnosic acid,"only vegetable oils (excluding virgin oils and olive oils) and fat where content of polyunsaturated fatty acids is higher than 15 % w/w of the total fatty acid, for the use in non-heat-treated food products",Fats and oils essentially free from water (excluding anhydrous milkfat)
02.1,E 392,Extracts of rosemary,50,Expressed on fat basis ; As the sum of carnosol and carnosic acid,"only fish oil and algal oil; lard, beef, poultry sheep and porcine fat; fat and oils for the professional manufacture of heat-treated foods; frying oils and frying fat, excluding olive oil and pomace oil",Fats and oils essentially free from water (excluding anhydrous milkfat)
02.1,E 471,Mono- and diglycerides of fatty acids,10 000,,except virgin oils and olive oils,Fats and oils essentially free from water (excluding anhydrous milkfat)
02.1,E 472c,Citric acid esters of mono- and diglycerides of fatty acids,quantum satis,,"only for cooking and/or frying purposes or for the preparation of gravy, except virgin oils and olive oils",Fats and oils essentially free from water (excluding anhydrous milkfat)
02.1,E 900,Dimethyl polysiloxane,10,,only oils and fats for frying,Fats and oils essentially free from water (excluding anhydrous milkfat)
02.2.1,E 160a,Carotenes,quantum satis,,except butter from sheep and goats milk,Butter and concentrated butter and butter oil and anhydrous milkfat
02.2.1,E 500,Sodium carbonates,quantum satis,,only soured cream butter,Butter and concentrated butter and butter oil and anhydrous milkfat
02.2.1,E 338-452,"Phosphoric acid - phosphates - di-, tri- and polyphosphates",2 000,The additives may be added individually or in combination ; The maximum level is expressed as P2O5,only soured cream butter,Butter and concentrated butter and butter oil and anhydrous milkfat
02.2.2,Group I,Additives,,,,Other fat and oil emulsions including spreads as defined by Regulation (EC) No 1234/2007 and liquid emulsions
02.2.2,E 100,Curcumin,quantum satis,,excluding reduced fat butter,Other fat and oil emulsions including spreads as defined by Regulation (EC) No 1234/2007 and liquid emulsions
02.2.2,E 160a,Carotenes,quantum satis,,,Other fat and oil emulsions including spreads as defined by Regulation (EC) No 1234/2007 and liquid emulsions
02.2.2,E 160b,"Annatto, bixin, norbixin",10,,excluding reduced fat butter,Other fat and oil emulsions including spreads as defined by Regulation (EC) No 1234/2007 and liquid emulsions
02.2.2,E 200-202,Sorbic acid - potassium sorbate,1 000,The additives may be added individually or in combination ; The maximum level is applicable to the sum and the levels are expressed as the free acid,only fat emulsions (excluding butter) with a fat content of 60 % or more,Other fat and oil emulsions including spreads as defined by Regulation (EC) No 1234/2007 and liquid emulsions
02.2.2,E 200-202,Sorbic acid - potassium sorbate,2 000,The additives may be added individually or in combination ; The maximum level is applicable to the sum and the levels are expressed as the free acid,only fat emulsions with a fat content less than 60 %,Other fat and oil emulsions including spreads as defined by Regulation (EC) No 1234/2007 and liquid emulsions
02.2.2,E 310-320,"Propyl gallate, TBHQ and BHA",200,The additives may be added individually or in combination ; The maximum level is applicable to the sum and the levels are expressed as the free acid,only frying fat,Other fat and oil emulsions including spreads as defined by Regulation (EC) No 1234/2007 and liquid emulsions
02.2.2,E 321,Butylated hydroxytoluene (BHT),100,,only frying fat,Other fat and oil emulsions including spreads as defined by Regulation (EC) No 1234/2007 and liquid emulsions
02.2.2,E 338-452,"Phosphoric acid - phosphates - di-, tri- and polyphosphates",5 000,The additives may be added individually or in combination ; The maximum level is expressed as P2O5,only spreadable fats,Other fat and oil emulsions including spreads as defined by Regulation (EC) No 1234/2007 and liquid emulsions
02.2.2,E 385,Calcium disodium ethylene diamine tetra-acetate (Calcium disodium EDTA),100,,"only spreadable fats as defined in Article 115 of and Annex XV to Regulation (EC) No 1234/2007, having a fat content of 41 % or less",Other fat and oil emulsions including spreads as defined by Regulation (EC) No 1234/2007 and liquid emulsions
02.2.2,E 392,Extracts of rosemary,100,Expressed on fat basis ; As the sum of carnosol and carnosic acid,only spreadable fats with a fat content less than 80 %,Other fat and oil emulsions including spreads as defined by Regulation (EC) No 1234/2007 and liquid emulsions
02.2.2,E 405,"Propane-1, 2-diol alginate",3 000,,,Other fat and oil emulsions including spreads as defined by Regulation (EC) No 1234/2007 and liquid emulsions
02.2.2,E 432-436,Polysorbates,10 000,The additives may be added individually or in combination,only fat emulsions for baking,Other fat and oil emulsions including spreads as defined by Regulation (EC) No 1234/2007 and liquid emulsions
