Authorised novel food,Conditions under which the novel food may be used,Conditions under which the novel food may be used,Additional specific labelling requirements,Other requirements,Data Protection,footnote
Echium plantagineum oil,Foods for special medical purposes as defined in Regulation (EU) No 609/2013,In accordance with the particular nutritional requirements of the persons for whom the products are intended,The designation of the novel food on the labelling of the foodstuffs containing it shall be ‘Refined echium oil’,,,
Echium plantagineum oil,Total diet replacement for weight control as defined in Regulation (EU) No 609/2013 and meal replacements for weight control,250 mg/meal,The designation of the novel food on the labelling of the foodstuffs containing it shall be ‘Refined echium oil’,,,
Egg membrane hydrolysate,Specified food category,Maximum levels,The designation of the novel food on the labelling of the foodstuffs containing it shall be ‘egg membrane hydrolysate’.,,"Authorised on 25 November 2018. This inclusion is based on proprietary scientific evidence and scientific data protected in accordance with Article 26 of Regulation (EU) 2015/2283.
Applicant: Biova, LLC., 5800 Merle Hay Rd, Suite 14 PO Box 394 Johnston 50131, Iowa USA. During the period of data protection the novel food egg membrane hydrolysate is authorised for placing on the market within the Union only by Biova, LLC. unless a subsequent applicant obtains authorisation for the novel food without reference to the proprietary scientific evidence or scientific data protected in accordance with Article 26 of Regulation (EU) 2015/2283 or with the agreement of Biova, LLC.
End date of the data protection: 25 November 2023",
Egg membrane hydrolysate,Food Supplements as defined in Directive 2002/46/EC intended for the general adult population,450 mg/day,The designation of the novel food on the labelling of the foodstuffs containing it shall be ‘egg membrane hydrolysate’.,,"Authorised on 25 November 2018. This inclusion is based on proprietary scientific evidence and scientific data protected in accordance with Article 26 of Regulation (EU) 2015/2283.
Applicant: Biova, LLC., 5800 Merle Hay Rd, Suite 14 PO Box 394 Johnston 50131, Iowa USA. During the period of data protection the novel food egg membrane hydrolysate is authorised for placing on the market within the Union only by Biova, LLC. unless a subsequent applicant obtains authorisation for the novel food without reference to the proprietary scientific evidence or scientific data protected in accordance with Article 26 of Regulation (EU) 2015/2283 or with the agreement of Biova, LLC.
End date of the data protection: 25 November 2023",
Epigallocatechin gallate as a purified extract from green tea leaves (Camellia sinensis),Specified food category,Maximum levels,The labelling shall bear a statement that consumers should not consume more than 300 mg of extract per day,,,
Epigallocatechin gallate as a purified extract from green tea leaves (Camellia sinensis),Foods including food supplements as defined in Directive 2002/46/EC,150 mg of extract in one portion of food or food supplement,The labelling shall bear a statement that consumers should not consume more than 300 mg of extract per day,,,
L-ergothioneine,Specified food category,Maximum levels,The designation of the novel food on the labelling of the foodstuffs containing it shall be ‘L-ergothioneine’,,,
L-ergothioneine,Food supplements as defined in Directive 2002/46/EC,30 mg/day for general population (excluding pregnant and lactating women); 20 mg/day for children older than 3 years,The designation of the novel food on the labelling of the foodstuffs containing it shall be ‘L-ergothioneine’,,,
Ferric Sodium EDTA,Specified food category,Maximum levels (expressed as anhydrous EDTA),The designation of the novel food on the labelling of the foodstuffs containing it shall be ‘Ferric Sodium EDTA’,,,
Ferric Sodium EDTA,Food supplements as defined in Directive 2002/46/EC,18 mg/day for children; 75 mg/day for adults,The designation of the novel food on the labelling of the foodstuffs containing it shall be ‘Ferric Sodium EDTA’,,,
Ferric Sodium EDTA,Foods covered by Regulation (EU) No 609/2013,12 mg/100 g,The designation of the novel food on the labelling of the foodstuffs containing it shall be ‘Ferric Sodium EDTA’,,,
Ferric Sodium EDTA,Foods fortified in accordance with Regulation (EC) No 1925/2006,12 mg/100 g,The designation of the novel food on the labelling of the foodstuffs containing it shall be ‘Ferric Sodium EDTA’,,,
Ferrous ammonium phosphate,Specified food category,Maximum levels,The designation of the novel food on the labelling of the foodstuffs containing it shall be ‘Ferrous ammonium phosphate’,,,
Ferrous ammonium phosphate,Food supplements as defined in Directive 2002/46/EC,"To be used in compliance with Directive 2002/46/EC, Regulation (EU) No 609/2013 and/or Regulation (EC) No 1925/2006",The designation of the novel food on the labelling of the foodstuffs containing it shall be ‘Ferrous ammonium phosphate’,,,
Ferrous ammonium phosphate,Foods covered by Regulation (EU) No 609/2013,"To be used in compliance with Directive 2002/46/EC, Regulation (EU) No 609/2013 and/or Regulation (EC) No 1925/2006",The designation of the novel food on the labelling of the foodstuffs containing it shall be ‘Ferrous ammonium phosphate’,,,
Ferrous ammonium phosphate,Foods fortified in accordance with Regulation (EC) No 1925/2006,"To be used in compliance with Directive 2002/46/EC, Regulation (EU) No 609/2013 and/or Regulation (EC) No 1925/2006",The designation of the novel food on the labelling of the foodstuffs containing it shall be ‘Ferrous ammonium phosphate’,,,
Fish peptides from Sardinops sagax,Specified food category,Maximum levels fish peptide product,The designation of the novel food on the labelling of the foodstuffs containing it shall be ‘Fish (Sardinops sagax) peptides’,,,
Fish peptides from Sardinops sagax,"Foods based on yoghurt, yoghurt drinks, fermented milk products, and powdered milk","0,48 g/100 g (ready to eat/drink)",The designation of the novel food on the labelling of the foodstuffs containing it shall be ‘Fish (Sardinops sagax) peptides’,,,
Fish peptides from Sardinops sagax,"Flavoured water, and vegetable-based drinks","0,3 g/100 g (ready to drink)",The designation of the novel food on the labelling of the foodstuffs containing it shall be ‘Fish (Sardinops sagax) peptides’,,,
Fish peptides from Sardinops sagax,Breakfast cereals,2 g/100 g,The designation of the novel food on the labelling of the foodstuffs containing it shall be ‘Fish (Sardinops sagax) peptides’,,,
Fish peptides from Sardinops sagax,"Soups, stews and soup powders","0,3 g/100 g (ready to eat)",The designation of the novel food on the labelling of the foodstuffs containing it shall be ‘Fish (Sardinops sagax) peptides’,,,
Flavonoids from Glycyrrhiza glabra,Specified food category,Maximum levels of flavonoids from Glycyrrhiza glabra,"1.
The designation of the novel food on the labelling of the foodstuffs containing it shall be ‘Flavonoids from Glycyrrhiza glabra L.’
2.
The labelling of the foods where the product was added as a novel food ingredient shall bear a statement that:
(a)
the product should not be consumed by pregnant and breast feeding women, children and young adolescents; and
(b)
people taking prescription drugs should only consume the product under medical supervision;
(c)
a maximum of 120 mg of flavonoids per day should be consumed.
3.
The amount of flavonoids in the final food shall be indicated on the labelling of the food containing it.",Beverages containing flavonoids shall be presented to the final consumer as single portions.,,
Flavonoids from Glycyrrhiza glabra,Beverages based on milk,120 mg/day,"1.
The designation of the novel food on the labelling of the foodstuffs containing it shall be ‘Flavonoids from Glycyrrhiza glabra L.’
2.
The labelling of the foods where the product was added as a novel food ingredient shall bear a statement that:
(a)
the product should not be consumed by pregnant and breast feeding women, children and young adolescents; and
(b)
people taking prescription drugs should only consume the product under medical supervision;
(c)
a maximum of 120 mg of flavonoids per day should be consumed.
3.
The amount of flavonoids in the final food shall be indicated on the labelling of the food containing it.",Beverages containing flavonoids shall be presented to the final consumer as single portions.,,
Flavonoids from Glycyrrhiza glabra,Beverages based on yoghurt,120 mg/day,"1.
The designation of the novel food on the labelling of the foodstuffs containing it shall be ‘Flavonoids from Glycyrrhiza glabra L.’
2.
The labelling of the foods where the product was added as a novel food ingredient shall bear a statement that:
(a)
the product should not be consumed by pregnant and breast feeding women, children and young adolescents; and
(b)
people taking prescription drugs should only consume the product under medical supervision;
(c)
a maximum of 120 mg of flavonoids per day should be consumed.
3.
The amount of flavonoids in the final food shall be indicated on the labelling of the food containing it.",Beverages containing flavonoids shall be presented to the final consumer as single portions.,,
